Specimen_ID,Species,Location,Site,Date,Total_Length_cm,Standard_Length_cm,Weight_g,Gonad Weight_g
SPU_DGT_001,Sphyraena obtusata,Dumaguete,Silliman Beach,6/26/2019,19.1,17.7,27.97,
SPU_DGT_002,Sphyraena obtusata,Dumaguete,Silliman Beach,6/26/2019,19.6,17.2,30.63,0.004
SPU_DGT_003,Sphyraena obtusata,Dumaguete,Silliman Beach,6/26/2019,18.1,16.2,24.99,0.019
SPU_DGT_004,Sphyraena obtusata,Dumaguete,Silliman Beach,6/27/2019,19.4,17.9,29.72,0.069
SPU_DGT_005,Sphyraena obtusata,Dumaguete,Silliman Beach,6/27/2019,17.4,15.2,20.25,0.009
SPU_DGT_006,Sphyraena obtusata,Dumaguete,Silliman Beach,6/27/2019,20.1,18.9,33.13,0.071
SPU_DGT_007,Sphyraena obtusata,Dumaguete,Silliman Beach,6/27/2019,22.6,20.5,47.51,0.081
SPU_DGT_008,Sphyraena obtusata,Dumaguete,Silliman Beach,6/27/2019,16.5,14.5,19.18,0.024
SPU_DGT_009,Sphyraena obtusata,Dumaguete,Silliman Beach,6/27/2019,16.4,14.7,20.47,
SPU_DGT_010,Sphyraena obtusata,Dumaguete,Silliman Beach,6/27/2019,22.7,20.6,51.65,0.03
SPU_DGT_011,Sphyraena obtusata,Dumaguete,Silliman Beach,6/27/2019,15.0,13.5,14.88,
SPU_DGT_012,Sphyraena obtusata,Dumaguete,Silliman Beach,6/27/2019,16.1,14.5,17.93,0.04
SPU_DGT_013,Sphyraena obtusata,Dumaguete,Silliman Beach,6/27/2019,18.8,16.5,30.13,0.008
SPU_DGT_014,Sphyraena obtusata,Dumaguete,Silliman Beach,6/27/2019,18.2,16.1,27.32,0.045
SPU_DGT_015,Sphyraena obtusata,Dumaguete,Silliman Beach,6/27/2019,18.6,16.4,30.12,0.015
SPU_DGT_016,Sphyraena obtusata,Dumaguete,Silliman Beach,6/27/2019,28.2,26,101.39,0.208
SPU_DGT_017,Sphyraena obtusata,Dumaguete,Silliman Beach,6/27/2019,27.6,25.6,98.45,0.492
SPU_DGT_018,Sphyraena obtusata,Dumaguete,Silliman Beach,6/28/2019,18.4,16.0,23.84,0.035
SPU_DGT_019,Sphyraena obtusata,Dumaguete,Silliman Beach,6/28/2019,22.1,19.3,44.71,0.04
SPU_DGT_020,Sphyraena obtusata,Dumaguete,Silliman Beach,6/28/2019,19.7,17.1,31.38,0.073
SPU_DGT_021,Sphyraena obtusata,Dumaguete,Silliman Beach,6/28/2019,20.1,17.6,32.87,0.106
SPU_DGT_022,Sphyraena obtusata,Dumaguete,Silliman Beach,6/28/2019,19.4,17.0,28.68,0.09
SPU_DGT_023,Sphyraena obtusata,Dumaguete,Silliman Beach,6/28/2019,14.7,13.0,13.29,
SPU_DGT_024,Sphyraena obtusata,Dumaguete,Silliman Beach,6/28/2019,22.0,19.3,43.13,0.079
SPU_DGT_025,Sphyraena obtusata,Dumaguete,Silliman Beach,6/28/2019,17.6,15.4,21.09,0.041
SPU_DGT_026,Sphyraena obtusata,Dumaguete,Silliman Beach,6/28/2019,24.3,21.1,56.97,0.047
SPU_DGT_027,Sphyraena obtusata,Dumaguete,Silliman Beach,6/28/2019,19.9,17.4,32.94,0.035
SPU_DGT_028,Sphyraena obtusata,Dumaguete,Silliman Beach,6/28/2019,18.2,15.9,24.83,0.04
SPU_DGT_029,Sphyraena obtusata,Dumaguete,Silliman Beach,6/28/2019,17.5,15.3,23.05,
SPU_DGT_030,Sphyraena obtusata,Dumaguete,Silliman Beach,6/28/2019,24.3,21.1,57.56,0.197
SPU_DGT_031,Sphyraena obtusata,Dumaguete,Silliman Beach,6/28/2019,15.3,13.2,15.34,
SPU_DGT_032,Sphyraena obtusata,Dumaguete,Silliman Beach,6/28/2019,20.2,17.4,30.22,0.083
SPU_DGT_033,Sphyraena obtusata,Dumaguete,Silliman Beach,6/28/2019,15.0,13.0,13.41,
SPU_DGT_034,Sphyraena obtusata,Dumaguete,Silliman Beach,6/28/2019,14.9,13.0,12.78,0.05
SPU_DGT_035,Sphyraena obtusata,Dumaguete,Silliman Beach,6/28/2019,28.9,25.2,107.26,0.408
SPU_DGT_036,Sphyraena obtusata,Dumaguete,Silliman Beach,6/28/2019,19.6,17.0,29.93,
SPU_DGT_037,Sphyraena obtusata,Dumaguete,Silliman Beach,6/28/2019,21.8,18.8,43.83,0.108
SPU_DGT_038,Sphyraena obtusata,Dumaguete,Silliman Beach,7/1/2019,22.3,19.3,49.69,0.113
SPU_DGT_039,Sphyraena obtusata,Dumaguete,Silliman Beach,7/1/2019,20.5,17.9,37.43,0.144
SPU_DGT_040,Sphyraena obtusata,Dumaguete,Silliman Beach,7/1/2019,20.6,17.8,36.25,0.124
SPU_DGT_041,Sphyraena obtusata,Dumaguete,Silliman Beach,7/1/2019,21.1,18.1,37.41,0.061
SPU_DGT_042,Sphyraena obtusata,Dumaguete,Silliman Beach,7/1/2019,20.5,17.8,36.91,0.072
SPU_DGT_043,Sphyraena obtusata,Dumaguete,Silliman Beach,7/1/2019,21.5,18.7,42.61,0.105
SPU_DGT_044,Sphyraena obtusata,Dumaguete,Silliman Beach,7/1/2019,21.2,18.2,47.03,0.129
SPU_DGT_045,Sphyraena obtusata,Dumaguete,Silliman Beach,7/1/2019,21.4,18.4,42.42,0.13
SPU_DGT_046,Sphyraena obtusata,Dumaguete,Silliman Beach,7/1/2019,26.4,22.8,81.58,0.365
SPU_DGT_047,Sphyraena obtusata,Dumaguete,Silliman Beach,7/1/2019,19.4,16.8,36.19,0.055
SPU_DGT_048,Sphyraena obtusata,Dumaguete,Silliman Beach,7/1/2019,24.7,21.5,67.84,0.093
SPU_DGT_049,Sphyraena obtusata,Dumaguete,Silliman Beach,7/1/2019,19,17.5,35.52,0.039
SPU_DGT_050,Sphyraena obtusata,Dumaguete,Silliman Beach,7/1/2019,23.5,20.6,60.78,0.185
SPU_DGT_051,Sphyraena obtusata,Dumaguete,Silliman Beach,7/1/2019,21.4,18.6,46.55,0.142
SPU_DGT_052,Sphyraena obtusata,Dumaguete,Silliman Beach,7/1/2019,23.4,20.5,62.74,0.208
SPU_DGT_053,Sphyraena obtusata,Dumaguete,Silliman Beach,7/1/2019,20.1,17.3,33.93,0.54
SPU_DGT_054,Sphyraena obtusata,Dumaguete,Silliman Beach,7/1/2019,26.5,22.7,78.34,0.291
SPU_DGT_055,Sphyraena obtusata,Dumaguete,Silliman Beach,7/1/2019,22.7,19.7,51.47,0.141
SPU_DGT_056,Sphyraena obtusata,Dumaguete,Silliman Beach,7/1/2019,23.2,20.3,56.32,0.43
SPU_DGT_057,Sphyraena obtusata,Dumaguete,Silliman Beach,7/1/2019,26.3,22.9,80.12,0.245
SPU_DGT_058,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,21.6,18.6,44.49,0.121
SPU_DGT_059,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,22.8,19.4,48.07,0.103
SPU_DGT_060,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,25.7,21.9,70.75,0.349
SPU_DGT_061,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,24.3,21.6,57.29,0.167
SPU_DGT_062,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,20.1,17.1,35.15,0.036
SPU_DGT_063,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,16.1,13.7,18.4,
SPU_DGT_064,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,16.8,14.3,21.76,0.019
SPU_DGT_065,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,19.9,16.8,33.5,0.129
SPU_DGT_066,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,22.5,19.2,40.5,0.118
SPU_DGT_067,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,15.9,13.6,17.22,0.016
SPU_DGT_068,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,16.6,14,19.04,0.017
SPU_DGT_069,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,16.6,14.2,18.36,0.057
SPU_DGT_070,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,21.2,18,38.18,0.125
SPU_DGT_071,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,21.9,18.5,43.25,0.182
SPU_DGT_072,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,18,15.4,24.33,0.066
SPU_DGT_073,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,16.8,13.9,18.68,0.012
SPU_DGT_074,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,19.2,16.4,30.63,0.071
SPU_DGT_075,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,20.4,17.4,36.24,0.028
SPU_DGT_076,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,17.6,15.2,23.45,0.002
SPU_DGT_077,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,17.1,14.6,22.16,0.077
SPU_DGT_078,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,20.2,17.4,34.64,0.036
SPU_DGT_079,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,17.7,15.3,23.35,0.006
SPU_DGT_080,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,18,15.4,24.19,0.02
SPU_DGT_081,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,18.4,15.7,25.18,0.002
SPU_DGT_082,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,20.7,17.8,38.04,0.075
SPU_DGT_083,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,18.2,15.6,25.85,0.047
SPU_DGT_084,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,20.5,17.6,35.5,0.12
SPU_DGT_085,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,19.9,17.3,33.87,0.039
SPU_DGT_086,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,19.6,16.7,32.88,0.014
SPU_DGT_087,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,23.6,20.1,58.38,0.228
SPU_DGT_088,Sphyraena obtusata,Dumaguete,Silliman Beach,7/2/2019,17.6,14.9,23.63,0.071
SPU_DGT_089,Sphyraena obtusata,Dumaguete,Silliman Beach,7/3/2019,29.2,24.7,104.11,0.416
SPU_DGT_090,Sphyraena obtusata,Dumaguete,Silliman Beach,7/3/2019,19.2,16.4,29.76,0.065
SPU_DGT_091,Sphyraena obtusata,Dumaguete,Silliman Beach,7/3/2019,20.9,18,38.55,0.05
SPU_DGT_092,Sphyraena obtusata,Dumaguete,Silliman Beach,7/3/2019,23.8,20.4,59.84,0.005
SPU_DGT_093,Sphyraena obtusata,Dumaguete,Silliman Beach,7/3/2019,21.2,17.4,36.48,0.069
SPU_DGT_094,Sphyraena obtusata,Dumaguete,Silliman Beach,7/3/2019,19.3,16.5,30.2,0.07
SPU_DGT_095,Sphyraena obtusata,Dumaguete,Silliman Beach,7/3/2019,17.5,14.8,23.63,
SPU_DGT_096,Sphyraena obtusata,Dumaguete,Silliman Beach,7/3/2019,19.8,16.8,35,
SPU_DGT_097,Sphyraena obtusata,Dumaguete,Silliman Beach,7/3/2019,23.4,20,53.33,0.159
SPU_DGT_098,Sphyraena obtusata,Dumaguete,Silliman Beach,7/3/2019,24.2,20.6,57.25,0.163
SPU_DGT_099,Sphyraena obtusata,Dumaguete,Silliman Beach,7/15/2019,26.3,22.6,80.53,0.378
SPU_DGT_100,Sphyraena obtusata,Dumaguete,Silliman Beach,7/15/2019,28.1,24.3,93.86,0.279
SPU_DGT_101,Sphyraena obtusata,Dumaguete,Silliman Beach,7/15/2019,26.5,22.7,80.17,0.506
SPU_DGT_102,Sphyraena obtusata,Dumaguete,Silliman Beach,7/15/2019,27.8,23.8,98.28,0.46
SPU_DGT_103,Sphyraena obtusata,Dumaguete,Silliman Beach,7/15/2019,27.7,23.4,96.37,0.143
SPU_DGT_104,Sphyraena obtusata,Dumaguete,Silliman Beach,7/15/2019,27.4,23.5,89.2,0.374
